Year,Tourist Economic Activity,T-Revenues,T-Expendetures,T-Comensation,T-Saudi,T-Non-Saudi,T-Total,Establishments,Saudi-Male,Saudi-Female, Non-Saudi-Male, Non-Saudi-Female
2016,Tour operator activities,"1,706,310","946,015","212,782","2,838","2,620","5,458",914,,,,
2016,Other reservation service and related activities,"72,946","26,555","20,014",157,298,455,110,,,,
2016,"Creative, arts and entertainment activities","269,078","118,394","25,040",262,549,811,232,,,,
2016,Museums activities and operation of historical sites and buildings,"27,313","14,633","4,660",43,100,143,106,,,,
2016,Botanical and zoological gardens and nature reserves activities,"183,216","106,830","14,719",99,349,448,179,,,,
2016,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2016,Operation of sports facilities,"331,849","99,990","49,833",171,468,639,258,,,,
2016,Other sports activities,"25,255","5,069","7,009",74,153,227,93,,,,
2016,Activities of amusement parks and theme parks,"1,188,239","416,835","227,713","1,628","4,216","5,844",501,,,,
2016,Other amusement and recreation activities n.e.c.,"147,314","45,205","17,590",159,349,508,137,,,,
2017, Accommodation for Visitors,"20,596,450",9132904,"3,272,622",,,"114,957",8989,"28,847",509,"85,259",342
2017,Food and Beverage Serving Activities,"41,511,456",23152766,"7,375,810",,,"289,491",52024,"35,386","1,156","249,361","3,588"
2017, Railways Passenger Transport,"227,842",135508,"87,087",,,"1,593",6,"1,238",44,311,0
2017, Road Passenger Transport,"4,260,046",2303433,"1,366,521",,,"38,771",1645,"12,926",102,"25,644",99
2017, Water Passenger Transport,"24,617",8493,"9,383",,,282,43,51,0,231,0
2017, Air Passenger Transport,"32,787,596",15166565,"3,703,769",,,"27,136",31,"15,219",755,"4,110","7,052"
2017, Transport Equipment Rental,"6,919,160",2778640,"627,416",,,"20,493",3763,"5,916",110,"14,315",152
2017,  Travel Agencies and other Reservation Service Activities,"7,037,524",4201485,"1,464,876",,,"25,140",2878,"9,102",608,"13,823","1,607"
2017,Cultural  Activities,"628,313",393816,"59,865",,,"2,192",468,606,74,"1,488",24
2017,Sports and Recreational Activities,"3,930,445",949501,"541,521",,,"12,966",1524,"2,555","2,873","6,779",759
2017,Other KSA-Specific Tourism Characteristic Activities,"802,316",314312,"127,130",,,"2,920",229,"1,244",74,"1,572",30
2018,Accommodation for Visitors,21741578,9471418,"3,394,230","88,488",30453,118941,"9,101","29,909",544,"88,129",359
2018,Food and Beverage Serving Activities,43441046,23907505,"7,684,670","260,679",37808,298487,"52,518","36,593","1,215","256,990","3,689"
2018,Railways Passenger Transport,238077,139573,"92,777",321,1334,1655,6,"1,287",47,321,0
2018,Road Passenger Transport,4507727,2445188,"1,429,964","26,309",13360,39669,"1,662","13,251",109,"26,204",105
2018,Water Passenger Transport,26155,8812,"9,963",246,53,299,43,53,0,246,0
2018,Air Passenger Transport,34143347,16076559,"3,865,636","11,591",16641,28232,31,"15,839",802,"4,179","7,412"
2018,Transport Equipment Rental,7233393,2928121,"647,227","14,906",6178,21084,"3,838","6,063",115,"14,748",158
2018,Travel Agencies and Reservation Services,7236799,4346845,"1,496,891","15,711",9849,25560,"2,903","9,220",629,"14,094","1,617"
2018,Cultural  Activities,657880,406728,"62,756","1,553",703,2256,480,624,79,"1,528",25
2018,Sports and Recreational Activities,4065610,987480,"575,155","7,805",5554,13359,"1,570","2,630","2,924","7,010",795
2018,Other Specific Tourism Characteristic Services,845275,332664,"134,808","1,668",1346,3014,237,"1,270",76,"1,636",32
